City,Country,Date,Lat,Long,Temp,Humidity,Cloudiness,Wind Speed
Mascote,BR,1510982720,-15.56,-39.3,73.25,92,100,2.59
Itaituba,BR,1510982721,-4.28,-55.98,79.6,76,0,3.83
Ust-Nera,RU,1510982723,64.57,143.2,-24.36,64,48,2.21
Dostpur,IN,1510982724,26.28,82.47,79.73,81,20,4.34
Guaiba,BR,1510982720,-30.11,-51.33,64.7,100,92,3.49
Kukuna,SL,1510982727,9.4,-12.67,69.61,91,0,1.25
Pathardi,IN,1510982728,19.17,75.18,83.51,44,12,7.81
Hanzhong,CN,1510982730,33.07,107.03,42.83,92,88,4.38
Kurchum,KZ,1510982731,48.57,83.65,36.08,77,12,17.81
Tazmalt,DZ,1510981200,36.39,4.4,50.0,81,20,12.75
Bang Saphan,TH,1510977600,11.21,99.51,87.8,70,20,8.05
Labuan,PH,1510977600,7.1,121.9,91.4,59,20,4.7
Ankang,CN,1510982737,32.68,109.02,37.25,85,92,3.49
Kenda,IN,1510977600,23.2,86.53,75.2,88,90,4.72
Fortuna Foothills,US,1510981020,32.66,-114.41,71.6,46,1,3.36
Aki,JP,1510977600,33.5,133.9,60.8,59,75,13.87
Ustka,PL,1510982743,54.58,16.86,43.37,100,92,25.7
Hua Hin,TH,1510977600,12.57,99.96,87.8,70,20,5.82
Sangar,RU,1510982746,63.92,127.47,-21.43,61,56,4.23
Castrillon,ES,1510981200,43.55,-5.99,51.8,81,20,3.36
Port Elizabeth,ZA,1510981200,-33.92,25.57,57.2,76,0,2.24
Gravelbourg,CA,1510982750,49.88,-106.55,-0.55,82,20,7.52
El Tigre,VE,1510982595,8.89,-64.25,76.54,82,0,12.88
Lhokseumawe,ID,1510982753,5.18,97.15,80.9,100,32,6.4
Pisco,PE,1510981200,-13.7,-76.22,62.6,88,0,3.36
Arlit,NE,1510982756,18.74,7.39,61.28,52,8,2.77
Rancho Veloz,CU,1510980600,22.88,-80.39,68.0,88,20,4.7
Orodara,BF,1510982759,10.95,-4.93,70.28,44,56,2.71
Villacarrillo,ES,1510982760,38.09,-3.03,29.06,79,0,3.56
Didao,CN,1510982762,45.37,130.8,9.49,61,48,8.75
Collie,AU,1510982764,-33.27,116.17,68.53,64,48,14.56
Viravanallur,IN,1510981200,8.7,77.53,87.8,70,20,6.93
Verkhnetulomskiy,RU,1510979400,68.61,31.8,15.8,85,75,2.24
Kautokeino,NO,1510982768,69.01,23.04,18.4,88,80,5.06
Sydney,AU,1510981200,-33.87,151.21,73.56,64,75,19.46
Timmins,CA,1510981200,48.47,-81.33,24.8,92,90,11.41
Chanika,TZ,1510982772,-5.42,38.02,76.99,68,0,3.33
Aleksandrovskiy Zavod,RU,1510982774,50.92,117.94,-2.35,44,0,6.8
Borodino,RU,1510982775,55.91,94.9,25.51,88,80,9.53
Titlagarh,IN,1510982776,20.3,83.15,80.68,81,24,5.35
Nendaz,CH,1510980600,46.18,7.3,28.4,92,0,1.12
Marsassoum,SN,1510981200,12.83,-15.98,68.0,94,0,2.24
Blatnica,BA,1510981200,44.49,17.82,41.0,93,90,2.24
Nizhnetroitskiy,RU,1510982782,54.34,53.68,29.15,92,56,11.27
Natchez,US,1510980960,31.56,-91.4,64.4,88,1,10.29
Ahipara,NZ,1510982785,-35.17,173.17,58.18,91,100,23.91
Monchegorsk,RU,1510982786,67.94,32.87,15.02,100,68,2.37
Chatellerault,FR,1510981200,46.8,0.53,44.6,93,90,5.82
Motomiya,JP,1510977600,37.52,140.4,46.4,81,75,5.82
Alto Araguaia,BR,1510982542,-17.31,-53.22,68.26,93,80,6.91
Omidiyeh,IR,1510981200,30.76,49.7,58.77,44,0,2.24
Paarl,ZA,1510981200,-33.73,18.98,59.0,77,75,3.36
Uruacu,BR,1510982795,-14.52,-49.14,68.3,89,44,3.0
Ayan,RU,1510982797,56.45,138.17,-5.55,100,0,9.26
Stranda,NO,1510980600,62.31,6.94,40.1,80,68,18.34
Ambovombe,MG,1510982800,-25.17,46.08,74.42,96,48,7.4
Baherden,TM,1510982802,38.44,57.43,47.96,92,12,4.27
Gayeri,BF,1510982803,12.65,0.49,64.84,57,8,3.38
Prince Rupert,CA,1510981200,54.32,-130.32,41.0,93,90,9.17
Zhangye,CN,1510982806,38.93,100.45,34.24,88,12,4.38
Srivardhan,IN,1510982808,18.03,73.02,82.97,66,64,4.12
Kodinsk,RU,1510982809,58.69,99.18,7.46,75,88,2.59
Linhai,CN,1510982811,28.85,121.12,55.93,75,64,13.18
Afua,BR,1510982812,-0.16,-50.39,79.15,100,8,9.42
Ende,ID,1510982814,-8.84,121.66,76.45,100,92,4.12
Rialma,BR,1510982815,-15.31,-49.58,66.86,90,32,2.89
Papetoai,PF,1510980660,-17.5,-149.87,80.6,74,75,1.12
Aconibe,GQ,1510982818,1.3,10.94,70.78,99,92,2.82
Bandundu,CD,1510982819,-3.32,17.37,76.22,86,68,6.35
Inverness,CA,1510981260,46.23,-61.3,33.8,85,90,16.11
Salmas,IR,1510981200,38.2,44.77,37.24,79,0,2.24
Indianola,US,1510982100,41.36,-93.56,47.07,100,90,12.75
Norman Wells,CA,1510981200,65.28,-126.83,-5.81,76,90,6.93
Kasane,BW,1510981200,-17.82,25.15,69.8,20,0,8.05
Ormara,PK,1510982829,25.21,64.64,76.67,71,0,11.32
Falam,MM,1510982645,22.92,93.68,75.41,70,24,0.69
Worthing,GB,1510980600,50.81,-0.37,37.89,86,90,5.82
Purranque,CL,1510977600,-40.92,-73.17,44.6,93,75,5.82
Tilichiki,RU,1510982834,60.47,166.1,31.63,93,56,10.42
Salta,AR,1510977600,-24.79,-65.41,64.74,72,0,3.36
Kurumkan,RU,1510982837,54.3,110.3,-1.23,59,0,1.54
Bossangoa,CF,1510982838,6.49,17.46,75.28,75,64,10.6
Koping,SE,1510980600,59.51,15.99,42.8,75,80,13.87
Lastoursville,GA,1510982842,-0.81,12.73,72.8,98,88,2.59
Fulton,US,1510980840,43.32,-76.42,26.47,74,1,3.36
Bartlesville,US,1510982100,36.75,-95.98,70.2,72,1,5.82
Kapit,MY,1510982846,2.02,112.93,82.52,79,88,2.77
Southbury,US,1510980960,41.48,-73.21,29.66,54,1,2.26
Calvia,ES,1510981200,39.57,2.51,41.0,93,0,1.21
Rovaniemi,FI,1510980600,66.5,25.72,19.4,92,75,13.87
Xifeng,CN,1510982852,42.74,124.72,14.71,70,0,7.52
Braedstrup,DK,1510980600,55.97,9.61,42.84,87,75,13.87
Voiron,FR,1510981200,45.36,5.59,38.77,93,90,3.36
Soyaux,FR,1510981200,45.65,0.2,42.8,93,90,12.75
Chokwe,MZ,1510982858,-24.53,32.98,74.38,68,0,4.83
Rocha,UY,1510982859,-34.48,-54.33,55.66,80,0,9.6
Bodden Town,KY,1510982750,19.28,-81.25,79.06,100,80,21.12
Cayambe,EC,1510982862,0.05,-78.13,45.76,95,36,1.77
Odienne,CI,1510982864,9.51,-7.57,66.05,61,44,3.27
Constantine,DZ,1510981200,36.37,6.61,37.4,93,40,3.56
Pinheiro Machado,BR,1510982867,-31.58,-53.38,60.02,89,8,1.36
Fenyi,CN,1510982868,27.81,114.67,48.1,100,92,14.18
Novaya Zaimka,RU,1510982870,56.49,66.92,26.81,98,76,8.25
Tera,NE,1510982871,14.01,0.75,64.75,34,8,7.36
Dehloran,IR,1510982872,32.69,47.27,60.79,47,20,4.12
Fort-Shevchenko,KZ,1510982874,44.51,50.26,39.28,100,0,16.13
Nexo,DK,1510980600,55.06,15.13,44.6,81,92,25.28
Vartej,IN,1510982877,21.73,72.07,77.98,54,0,10.27
Znamenskoye,RU,1510982878,57.13,73.83,32.3,100,88,3.78
Sergeyevka,KZ,1510982880,53.88,67.42,28.21,96,76,9.93
Springhill,CA,1510982882,45.65,-64.05,35.72,75,68,12.39
Ifakara,TZ,1510982883,-8.13,36.68,84.05,56,0,3.83
Shenjiamen,CN,1510982885,29.96,122.3,59.21,100,48,28.66
Inongo,CD,1510982886,-1.95,18.27,76.09,89,88,1.77
Saint Albans,US,1510980900,44.81,-73.08,18.95,85,1,2.26
Iramuco,MX,1510980000,19.95,-100.92,51.8,76,5,2.55
Boke,GN,1510982890,10.94,-14.3,72.76,92,24,2.71
Amazar,RU,1510982892,53.86,120.88,-3.07,46,0,4.34
Charyshskoye,RU,1510982893,51.4,83.56,38.83,66,44,6.85
Nambutalai,IN,1510982895,9.72,79.0,82.3,100,0,6.02
Sehithwa,BW,1510982896,-20.47,22.72,70.55,25,0,8.08
Mangan,IN,1510982898,27.52,88.53,45.85,40,0,1.7
Pathalgaon,IN,1510982899,22.57,83.47,78.61,73,8,4.12
Luanda,AO,1510981200,-8.84,13.23,75.2,83,75,6.93
Yerbogachen,RU,1510982903,61.28,108.01,-20.17,86,0,2.89
Balotra,IN,1510982904,25.83,72.23,75.32,50,0,10.83
Venosa,IT,1510980900,40.96,15.81,39.2,80,0,3.0
Gap,FR,1510982907,44.57,6.08,20.06,90,0,3.33
Ola,RU,1510981200,59.58,151.28,-2.21,91,40,15.86
Phatthalung,TH,1510977600,7.62,100.08,91.4,59,20,4.7
Assiniboia,CA,1510982912,49.63,-105.98,0.89,86,32,8.25
Masterton,NZ,1510982913,-40.96,175.66,52.33,74,48,13.33
Hermanus,ZA,1510982915,-34.42,19.23,57.73,84,12,3.04
Hue,VN,1510979400,16.47,107.6,91.4,66,20,6.93
Palmerston North,NZ,1510982918,-40.35,175.62,56.6,48,0,15.9
Cananea,MX,1510982888,30.95,-110.3,42.65,76,0,2.77
Mathathane,BW,1510982921,-22.27,28.75,69.16,54,0,11.83
Mayumba,GA,1510982922,-3.43,10.66,73.16,100,92,2.26
Murwara,IN,1510982924,23.85,80.4,80.95,66,12,6.13
Abatskoye,RU,1510982925,56.29,70.46,25.28,98,76,8.41
San Luis,MX,1510982927,28.43,-113.75,58.76,100,32,5.79
Kotagiri,IN,1510981200,11.43,76.88,84.2,58,40,6.93
Esperance,AU,1510982929,-33.87,121.9,72.08,66,68,16.13
Korla,CN,1510982931,41.76,86.15,40.31,50,0,3.04
Huntsville,CA,1510981200,45.33,-79.22,30.2,80,75,10.29
Inta,RU,1510982934,66.03,60.17,11.83,87,36,2.21
Nerja,ES,1510981200,36.76,-3.89,40.24,100,0,7.02
Lagoa,PT,1510982937,39.05,-27.98,66.95,100,92,25.14
Oum Hadjer,TD,1510982939,13.3,19.7,72.08,39,0,3.83
La Ligua,CL,1510981200,-32.45,-71.23,53.6,87,0,1.88
Luau,AO,1510982942,-10.71,22.22,68.89,85,64,3.22
Luangwa,ZM,1510982943,-15.62,30.42,71.95,78,92,10.87
Taoudenni,ML,1510982945,22.68,-3.98,55.7,33,88,8.59
Makhinjauri,GE,1510981200,41.67,41.69,53.6,71,0,6.93
Narbonne,FR,1510981200,43.18,3.0,47.03,70,0,6.93
Sundumbili,ZA,1510982949,-29.13,31.4,64.93,77,0,5.57
Bunbury,AU,1510982951,-33.33,115.63,69.92,73,88,12.84
Atbasar,KZ,1510982952,51.8,68.33,27.17,98,36,10.09
Koppang,NO,1510982954,61.57,11.06,9.71,68,0,2.21
Orillia,CA,1510981200,44.61,-79.42,32.07,80,75,10.29
Huntingdon,CA,1510981200,45.08,-74.17,21.16,68,75,3.36
Zacualtipan,MX,1510982958,20.65,-98.6,43.01,83,0,2.37
Hanamaki,JP,1510977600,39.38,141.12,51.8,66,75,4.7
Neka,IR,1510981200,36.65,53.3,59.22,93,0,2.24
Novovoronezh,RU,1510981200,51.31,39.22,28.4,100,92,6.71
Groningen,SR,1510981200,5.8,-55.47,75.2,94,20,6.93
Ojinaga,MX,1510982966,29.57,-104.42,54.53,42,0,7.07
Oltu,TR,1510982967,40.55,42.0,31.31,77,0,1.54
Tremedal,BR,1510982969,-14.98,-41.41,64.39,94,44,5.39
Poway,US,1510981020,32.96,-117.04,61.7,82,20,4.7
Makariv,UA,1510981920,50.46,29.81,35.6,100,90,4.47
Ous,RU,1510982973,60.91,61.52,13.85,85,64,3.56
Idlib,SY,1510980600,35.93,36.63,51.8,71,0,6.93
Sisauli,IN,1510982976,29.42,77.47,66.32,94,92,3.11
El Paujil,CO,1510982978,1.57,-75.33,67.0,94,48,1.88
Tevaitoa,PF,1510982980,-16.78,-151.5,79.24,100,80,22.06
Kutum,SD,1510982981,14.2,24.67,71.95,30,0,6.29
Correia Pinto,BR,1510982983,-27.58,-50.36,60.88,98,92,8.3
Campeche,MX,1510982984,19.82,-90.53,75.19,93,0,9.26
Paoua,CF,1510982985,7.24,16.44,84.5,40,92,7.29
Bashtanka,UA,1510981200,47.41,32.44,35.6,93,0,8.95
Tazovskiy,RU,1510982989,67.47,78.7,7.69,84,88,9.64
San Luis,AR,1510982947,-33.3,-66.34,55.25,17,0,11.27
Vostok,RU,1510982991,48.92,148.9,35.72,100,88,24.47
Ouadda,CF,1510982993,8.08,22.4,70.1,95,80,7.92
Chadiza,ZM,1510982994,-14.07,32.44,75.73,61,0,13.33
Udachnyy,RU,1510982996,66.42,112.4,-6.45,71,68,4.56
Aklavik,CA,1510981200,68.22,-135.01,-11.21,76,75,5.82
Borogontsy,RU,1510982999,62.67,131.17,-18.82,81,48,3.0
Dong Hoi,VN,1510983000,17.48,106.6,81.62,94,8,10.42
Naliya,IN,1510983002,23.27,68.83,76.13,34,0,10.27
Blackwater,AU,1510983005,-23.58,148.88,85.76,34,36,7.58
Launceston,AU,1510981200,-41.45,147.17,71.6,49,90,13.87
Koshki,RU,1510983008,54.21,50.47,30.41,94,88,12.1
Jurm,AF,1510983010,36.86,70.83,21.95,83,48,0.69
Gazimurskiy Zavod,RU,1510983011,51.55,118.33,-2.71,45,0,4.72
Finschhafen,PG,1510983013,-6.6,147.87,77.8,94,80,2.37
Gilgit,PK,1510983014,35.92,74.31,21.1,81,80,0.47
Garliciu,RO,1510981200,44.77,28.08,44.58,100,75,12.75
San Francisco,AR,1510983015,-31.43,-62.08,58.76,37,44,11.65
Ponazyrevo,RU,1510983018,58.36,46.31,33.47,87,92,8.81
